iter	RMSE
664	0.1483917811
665	0.148362532
666	0.1483216189
667	0.1482867545
668	0.1482550228
669	0.1481904121
670	0.1481618131
671	0.1481345991
672	0.1480790519
673	0.148045861
674	0.1480196986
675	0.1479708027
676	0.1479062238
677	0.1478763262
678	0.1478375291
679	0.1477922507
680	0.1477726752
681	0.1477437499
682	0.1476985814
683	0.1476643186
684	0.1476171789
685	0.1476025206
686	0.1475702213
687	0.1475393266
688	0.1475086715
689	0.1474704553
690	0.1474301801
691	0.1473617729
692	0.1473427567
693	0.147284889
694	0.1472506804
695	0.1471816685
696	0.1471325853
697	0.1470987918
698	0.1470789468
699	0.1470536737
700	0.1470208344
701	0.146995679
702	0.1469712053
703	0.1469470652
704	0.1469207507
705	0.1469042302
706	0.1468797693
707	0.1468245942
708	0.1467949774
709	0.1467665789
710	0.1467373452
711	0.1466979354
712	0.1466649683
713	0.1466287634
714	0.1465865366
715	0.1465670591
716	0.1465264518
717	0.1464916795
718	0.1464520903
719	0.1464202144
720	0.1463796484
721	0.1463644483
722	0.1463315675
723	0.1463167805
724	0.1462953451
725	0.1462653431
726	0.1462404752
727	0.1462142027
728	0.1461506411
729	0.146098083
730	0.1460519908
731	0.1460111596
732	0.1459906403
733	0.1459639311
734	0.1459322756
735	0.1459039591
736	0.1458626876
737	0.1458408144
738	0.1458080034
739	0.1457698421
740	0.145740082
741	0.1457194307
742	0.1456940293
743	0.1456370686
744	0.1456114846
745	0.1455815069
746	0.1455593415
747	0.1455375821
748	0.145486159
749	0.1454620003
750	0.1454177793
751	0.145367938
752	0.1453504978
753	0.1453233089
754	0.1452966262
755	0.1452684792
756	0.1452323507
757	0.1452009496
758	0.1451673588
759	0.145139367
760	0.1451145617
761	0.1450747399
762	0.1450344674
763	0.1450123445
764	0.1449924848
765	0.1449672852
766	0.1449388171
767	0.1449068378
768	0.1448487958
769	0.1448216143
770	0.1447783274
771	0.1447529411
772	0.1447157707
773	0.1446778988
774	0.1446338991
775	0.1446158668
776	0.144588316
777	0.1445516028
778	0.1445212771
779	0.1444911614
780	0.1444498478
781	0.1444199414
782	0.1443949552
783	0.1443687777
784	0.1443361063
785	0.1443101386
786	0.1442751999
787	0.1442454939
788	0.1442203224
789	0.144179413
790	0.1441375753
791	0.1440986938
792	0.1440418712
793	0.144012986
794	0.1439602069
795	0.1439293
796	0.1439022842
797	0.1438688565
798	0.1438348597
799	0.1437955058
800	0.1437588809
801	0.1437405061
802	0.1437096594
803	0.1436882509
804	0.1436708266
805	0.1436440927
806	0.1435955869
807	0.1435555415
808	0.1435206557
809	0.1434840226
810	0.1434655992
811	0.1434482868
812	0.1434120625
813	0.1433867532
814	0.1433564859
815	0.1432999114
816	0.1432588353
817	0.1432365491
818	0.1432075387
819	0.1431636557
820	0.1431361561
821	0.1431024307
822	0.1430796504
823	0.1430599942
824	0.1430345251
825	0.1430108848
826	0.1429711248
827	0.1429444676
828	0.1429128915
829	0.1428899434
830	0.1428600485
831	0.1428307734
832	0.1427977196
833	0.1427574743
834	0.1427313342
835	0.1426969724
836	0.142652312
837	0.1426245779
838	0.1425944471
839	0.142565142
840	0.1425298074
841	0.142508527
842	0.142469477
843	0.1424399866
844	0.1424164316
845	0.142394504
846	0.1423667236
847	0.1423363528
848	0.1422896839
849	0.1422408284
850	0.1421975361
851	0.1421769393
852	0.1421225527
853	0.1420967408
854	0.1420529963
855	0.1420247451
856	0.1419944574
857	0.1419748457
858	0.1419409723
859	0.1419026975
860	0.1418735508
861	0.1418421405
862	0.1418150897
863	0.1417869502
864	0.1417672812
865	0.1417406327
866	0.1417176623
867	0.1416897851
868	0.1416535656
869	0.1416203955
870	0.1416058032
871	0.1415859839
872	0.141552997
873	0.1415398566
874	0.1415116833
875	0.1414644902
876	0.1414301613
877	0.1413980582
878	0.1413679759
879	0.141348486
880	0.1413131018
881	0.1412907183
882	0.1412692124
883	0.1412194267
884	0.14119549
885	0.1411668749
886	0.1411345913
887	0.1410897403
888	0.141067104
889	0.1410414017
890	0.1410177485
891	0.1409785738
892	0.1409594027
893	0.1409421432
894	0.1409169013
895	0.1409037327
896	0.1408667216
897	0.1408351113
898	0.1407990886
899	0.1407696253
900	0.1407392424
901	0.1407061701
902	0.1406624873
903	0.140640929
904	0.1406074458
905	0.1405738179
906	0.1405401518
907	0.1405216768
908	0.1405042918
909	0.140472799
910	0.1404416341
911	0.140420582
912	0.1403906145
913	0.1403570931
914	0.1403156511
915	0.1402915389
916	0.1402629746
917	0.1402441962
918	0.1402247312
919	0.1401907016
920	0.1401504494
921	0.14012227
922	0.1401022694
923	0.1400687494
924	0.1400534368
925	0.1400173731
926	0.1400028654
927	0.1399670772
928	0.1399421387
929	0.1399112743
930	0.1398754373
931	0.1398647171
932	0.1398401579
933	0.1398252507
934	0.1398009926
935	0.1397678635
936	0.13974106
937	0.1397238657
938	0.1396922684
939	0.1396661
940	0.1396420427
941	0.139612586
942	0.1395852679
943	0.139556962
944	0.139528002
945	0.1395114741
946	0.1394608916
947	0.1394418373
948	0.1394158982
949	0.1393818557
950	0.1393628111
951	0.139326942
952	0.139294967
953	0.1392736086
954	0.139236975
955	0.1391965682
956	0.1391633763
957	0.1391391435
958	0.1391199519
959	0.139088256
960	0.1390792467
961	0.1390540213
962	0.1390362627
963	0.1390195751
964	0.1389970604
965	0.1389768825
966	0.1389505083
967	0.1389193749
968	0.1388924807
969	0.1388652211
970	0.1388355101
971	0.1388017376
972	0.1387690311
973	0.1387432902
974	0.1387183752
975	0.1386935577
976	0.138658254
977	0.1386355409
978	0.1386117592
979	0.1385907695
980	0.1385804605
981	0.138557779
982	0.1385312739
983	0.1385034705
984	0.1384541051
985	0.1384236799
986	0.1383991573
987	0.1383548794
988	0.138330718
989	0.1383103504
990	0.1382703625
991	0.1382427293
992	0.1382144619
993	0.1381839395
994	0.1381477425
995	0.1381341138
996	0.1381053108
997	0.138074708
998	0.1380537597
999	0.1380221095
